Profile name,Profile type,Standard,Series description,Shape family,Overall depth h (mm),Overall width b (mm),Wall thickness t (mm),Web thickness tw (mm),Flange thickness tf (mm),Root radius r (mm),Outer corner radius ro (mm),Inner corner radius ri (mm),Mass per metre (kg/m),Perimeter (m),Cross-section area A (mm2),Shear area Av (mm2),"Shear area about y-y Av,y (mm2)","Shear area about z-z Av,z (mm2)",Second moment of area about y-y Iy (mm4),Second moment of area about z-z Iz (mm4),Radius of gyration about y-y iy (mm),Radius of gyration about z-z iz (mm),"Elastic section modulus about y-y Wel,y (mm3)","Elastic section modulus about z-z Wel,z (mm3)","Plastic section modulus about y-y Wpl,y (mm3)","Plastic section modulus about z-z Wpl,z (mm3)",Torsion constant It (mm4),Torsion modulus Wt (mm3),Warping constant Iw (mm6),Warping modulus Ww (mm4),Buckling curve,Section class,Data source URL
profile,type,standard,series,shape,h_mm,b_mm,t_mm,tw_mm,tf_mm,r_mm,ro_mm,ri_mm,weight_kg_m,perimeter_m,area_mm2,av_mm2,av_y_mm2,av_z_mm2,I_y_mm4,I_z_mm4,i_y_mm,i_z_mm,W_el_y_mm3,W_el_z_mm3,W_pl_y_mm3,W_pl_z_mm3,I_t_mm4,W_t_mm3,I_w_mm6,W_w_mm4,buckling_curve,section_class,source_url
RHS 120x80x4,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,120,80,4,,,,6,4,11.9,0.39,1519,,608,911,3026000,1607000,44.6,32.5,50430,40180,61150,46140,3304000,64980.00000000001,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 120x80x5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,120,80,5,,,,7.5,5,14.7,0.387,1873,,749,1124,3654000,1929000,44.2,32.1,60900,48240,74590,56130,4013000,77880,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 120x80x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,120,80,6.3,,,,9.4,6.3,18.2,0.384,2319,,927,1391,4398000,2305000,43.6,31.5,73300,57620,90980,68220,4866000,92870,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 120x80x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,120,80,8,,,,12,8,22.6,0.379,2875,,1150,1725,5253000,2726000,42.7,30.8,87540,68140,110600,82550,5866000,109700,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 120x80x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,120,80,10,,,,15,10,27.4,0.374,3493,,1397,2096,6095000,3126000,41.8,29.9,101600,78140,131200,97300,6876000,125700,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 140x80x4,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,140,80,4,,,,6,4,13.2,0.43,1679,,610,1068,4406000,1838000,51.2,33.1,62940,45960,77140,52220,4107000,76530,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 140x80x5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,140,80,5,,,,7.5,5,16.3,0.427,2073,,754,1319,5340000,2211000,50.8,32.7,76280,55280,94320,63630,4994000,91940,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 140x80x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,140,80,6.3,,,,9.4,6.3,20.2,0.424,2571,,935,1636,6458000,2648000,50.1,32.1,92260,66200,115400,77510,6065000,110000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 140x80x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,140,80,8,,,,12,8,25.1,0.419,3195,,1162,2033,7763000,3142000,49.3,31.4,110900,78550,141000,94070,7329000,130400,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 140x80x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,140,80,10,,,,15,10,30.6,0.414,3893,,1416,2477,9081000,3619000,48.3,30.5,129699.99999999999,90470,168100,111300,8621000,150300,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 150x100x4,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,150,100,4,,,,6,4,15.1,0.49,1919,,768,1151,6073000,3240000,56.3,41.1,80970,64810,97410,73640,6601000,105000,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 150x100x5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,150,100,5,,,,7.5,5,18.6,0.487,2373,,949,1424,7387000,3923000,55.8,40.7,98500,78470,119400,90110,8067000,126900,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 150x100x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,150,100,6.3,,,,9.4,6.3,23.1,0.484,2949,,1179,1769,8979000,4741000,55.2,40.1,119700,94810,146700,110400,9865000,153100,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 150x100x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,150,100,8,,,,12,8,28.9,0.479,3675,,1470,2205,10870000,5693000,54.4,39.4,144900,113900,180100,135000,12030000,183500,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 150x100x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,150,100,10,,,,15,10,35.3,0.474,4493,,1797,2696,12820000,6654000,53.4,38.5,171000,133100,216000,161200,14320000,214200,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 150x100x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,150,100,12.5,,,,18.8,12.5,42.8,0.468,5457,,2183,3274,14880000,7631000,52.2,37.4,198400,152600,256200,190000,16790000,245500,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 160x80x4,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,160,80,4,,,,6,4,14.4,0.47,1839,,613,1226,6122000,2069999.9999999998,57.7,33.5,76530,51740,94730,58300,4930000,88080,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 160x80x5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,160,80,5,,,,7.5,5,17.8,0.467,2273,,758,1515,7440000,2493000,57.2,33.1,93000,62320,116100,71130,6000000,106000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 160x80x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,160,80,6.3,,,,9.4,6.3,22.2,0.464,2823,,941,1882,9032000,2991000,56.6,32.6,112900,74780,142400,86800,7296000,127100,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 160x80x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,160,80,8,,,,12,8,27.6,0.459,3515,,1172,2344,10910000,3558000,55.7,31.8,136400,88960,174500,105600,8831000,151200,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 160x80x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,160,80,10,,,,15,10,33.7,0.454,4293,,1431,2862,12840000,4112000,54.7,31,160600,102800,209000,125300,10410000,174800,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 160x80x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,160,80,12.5,,,,18.8,12.5,40.9,0.448,5207,,1736,3472,14850000,4647000,53.4,29.9,185700,116200,247200,146400,12040000,197900,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 180x100x4,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,180,100,4,,,,6,4,16.9,0.55,2159,,771,1388,9445000,3794000,66.1,41.9,104900,75870,128000,85160,8521000,127100,,,a,3,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 180x100x5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,180,100,5,,,,7.5,5,21,0.547,2673,,955,1718,11530000,4601000,65.7,41.5,128100,92020,157300,104400,10420000,154000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 180x100x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,180,100,6.3,,,,9.4,6.3,26.1,0.544,3327,,1188,2139,14070000,5572000,65,40.9,156400,111400,193800,128100,12770000,186200,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 180x100x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,180,100,8,,,,12,8,32.6,0.539,4155,,1484,2671,17130000,6711000,64.2,40.2,190400,134200,238800,157100,15600000,224100,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 180x100x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,180,100,10,,,,15,10,40,0.534,5093,,1819,3274,20360000,7874000,63.2,39.3,226200,157500,287900,188200,18620000,262800,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 180x100x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,180,100,12.5,,,,18.8,12.5,48.7,0.528,6207,,2217,3990,23850000,9076000,62,38.2,265000,181500,343700,222900,21910000,303100,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x100x4,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,100,4,,,,6,4,18.2,0.59,2319,,773,1546,12230000,4162000,72.6,42.4,122300,83250,150400,92840,9834000,141900,,,a,4,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x100x5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,100,5,,,,7.5,5,22.6,0.587,2873,,958,1915,14950000,5053000,72.1,41.9,149500,101100,185000,113900,12040000,172000,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x100x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,100,6.3,,,,9.4,6.3,28.1,0.584,3579,,1193,2386,18290000,6125000,71.5,41.4,182900,122500,228300,139900,14750000,208400,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x100x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,100,8,,,,12,8,35.1,0.579,4475,,1492,2984,22340000,7390000,70.6,40.6,223400,147800,282000,171800,18040000,251200,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x100x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,100,10,,,,15,10,43.1,0.574,5493,,1831,3662,26640000,8688000,69.6,39.8,266400,173800,340900,206200,21560000,295300,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x100x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,100,12.5,,,,18.8,12.5,52.7,0.568,6707,,2236,4472,31360000,10040000,68.4,38.7,313600,200800,408200,244700,25410000,341500,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x100x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,100,16,,,,24,16,65.2,0.559,8301,,2767,5534,36780000,11470000,66.6,37.2,367800,229500,491100,290400,29820000,391100,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x120x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,120,6.3,,,,9.4,6.3,30.1,0.624,3831,,1436,2394,20650000,9290000,73.4,49.2,206500,154800,252700,176900,20280000,255500,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x120x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,120,8,,,,12,8,37.6,0.619,4795,,1798,2997,25290000,11280000,72.6,48.5,252900,188100,312700,218100,24950000,309900,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x120x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,120,10,,,,15,10,46.3,0.614,5893,,2210,3683,30260000,13370000,71.7,47.6,302600,222900,378900,263200,30010000,366900,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 200x120x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,200,120,12.5,,,,18.8,12.5,56.6,0.608,7207,,2703,4505,35760000,15620000,70.4,46.6,357600,260399.99999999997,455100,314300,35690000,428300,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 250x150x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,250,150,6.3,,,,9.4,6.3,38,0.784,4839,,1814,3024,41430000,18740000,92.5,62.2,331400,249900,402400,282500,40540000,412900,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 250x150x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,250,150,8,,,,12,8,47.7,0.779,6075,,2278,3797,51110000,22980000,91.7,61.5,408900,306400,500600,350500,50210000,505600,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 250x150x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,250,150,10,,,,15,10,58.8,0.774,7493,,2810,4683,61740000,27550000,90.8,60.6,493900,367300,610700,426000,60900000,605200,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 250x150x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,250,150,12.5,,,,18.8,12.5,72.3,0.768,9207,,3453,5755,73870000,32650000,89.6,59.6,590900,435400,740000,514000,73260000,716600,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 250x150x14.2,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,250,150,14.2,,,,21.3,14.2,81.1,0.763,10337,,3876,6461,81410000,35760000,88.7,58.8,651300,476800,822700,569700,81020000,784400,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 250x150x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,250,150,16,,,,24,16,90.3,0.759,11501,,4313,7188,88790000,38730000,87.9,58,710400,516400,905800,625100,88680000,849500,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 260x180x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,260,180,6.3,,,,9.4,6.3,41.9,0.864,5343,,2186,3157,51660000,29290000,98.3,74,397400,325400,474900,368900,58100000,523700.00000000006,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 260x180x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,260,180,8,,,,12,8,52.7,0.859,6715,,2747,3968,63900000,36080000,97.5,73.3,491500,400900,591900,459000,72210000,644000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 260x180x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,260,180,10,,,,15,10,65.1,0.854,8293,,3392,4900,77410000,43510000,96.6,72.4,595500,483400,723600,559900,87980000,775100,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 260x180x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,260,180,12.5,,,,18.8,12.5,80.1,0.848,10207,,4176,6032,92990000,51960000,95.4,71.3,715300,577300,879400,678700,106400000,923800,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 260x180x14.2,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,260,180,14.2,,,,21.3,14.2,90.1,0.843,11473,,4694,6780,102800000,57190000,94.6,70.6,790600,635500,979800,754700,118200000,1016000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 260x180x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,260,180,16,,,,24,16,100.3,0.839,12781,,5229,7553,112500000,62310000,93.8,69.8,865000,692300,1081000,831100,129900000,1106000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 300x200x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,300,200,6.3,,,,9.4,6.3,47.9,0.984,6099,,2439,3659,78290000,41930000,113.3,82.9,521900,419300,623800,472400,84760000,680600,,,a,4,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 300x200x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,300,200,8,,,,12,8,60.3,0.979,7675,,3070,4605,97170000,51840000,112.5,82.2,647800,518400,779300,589200,105600000,840000,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 300x200x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,300,200,10,,,,15,10,74.5,0.974,9493,,3797,5696,118200000,62780000,111.6,81.3,788000,627800,955500,720900,129100000,1015000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 300x200x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,300,200,12.5,,,,18.8,12.5,91.9,0.968,11707,,4683,7024,142700000,75370000,110.4,80.2,951500,753700,1165000,877000,156800000,1217000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 300x200x14.2,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,300,200,14.2,,,,21.3,14.2,103.4,0.963,13177,,5271,7906,158300000,83280000,109.6,79.5,1055000,832800,1302000,977800,174600000,1343000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 300x200x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,300,200,16,,,,24,16,115.4,0.959,14701,,5881,8821,173900000,91090000,108.8,78.7,1159000,910900,1441000,1080000,192500000,1468000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 350x250x6.3,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,350,250,6.3,,,,9.4,6.3,57.8,1.184,7359,,3066,4293,132000000,78850000,133.9,103.5,754500,630800,892400,709500,152100000,1011000,,,a,4,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 350x250x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,350,250,8,,,,12,8,72.8,1.179,9275,,3865,5411,164500000,97980000,133.2,102.8,940000,783900,1118000,887800,190300000,1254000,,,a,3,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 350x250x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,350,250,10,,,,15,10,90.2,1.174,11493,,4789,6704,201000000,119400000,132.3,101.9,1149000,955000,1375000,1091000,233500000,1525000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 350x250x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,350,250,12.5,,,,18.8,12.5,111.5,1.168,14207,,5920,8288,244200000,144400000,131.1,100.8,1395000,1156000,1685000,1334000,285300000,1842000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 350x250x14.2,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,350,250,14.2,,,,21.3,14.2,125.7,1.163,16017,,6674,9343,272000000,160500000,130.3,100.1,1554000,1284000,1887000,1492000,318900000,2044000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 350x250x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,350,250,16,,,,24,16,140.5,1.159,17901,,7459,10442,300100000,176500000,129.5,99.3,1715000,1412000,2095000,1655000,353300000,2246000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 400x200x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,400,200,8,,,,12,8,72.8,1.179,9275,,3092,6184,195600000,66599999.99999999,145.2,84.7,978100,666000,1203000,742800,157300000,1135000,,,a,4,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 400x200x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,400,200,10,,,,15,10,90.2,1.174,11493,,3831,7662,239100000,80840000,144.3,83.9,1196000,808400,1480000,910900,192600000,1376000,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 400x200x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,400,200,12.5,,,,18.8,12.5,111.5,1.168,14207,,4736,9472,290600000,97380000,143,82.8,1453000,973800,1813000,1111000,234400000,1656000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 400x200x14.2,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,400,200,14.2,,,,21.3,14.2,125.7,1.163,16017,,5339,10678,323800000,107800000,142.2,82.1,1619000,1078000,2032000,1242000,261400000,1834000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 400x200x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,400,200,16,,,,24,16,140.5,1.159,17901,,5967,11934,357400000,118200000,141.3,81.3,1787000,1182000,2256000,1374000,288700000,2010000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 450x250x8,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,450,250,8,,,,12,8,85.4,1.379,10875,,3884,6991,300800000,121400000,166.3,105.7,1337000,971300,1622000,1081000,270800000,1629000,,,a,4,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 450x250x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,450,250,10,,,,15,10,105.9,1.374,13493,,4819,8674,368900000,148200000,165.4,104.8,1640000,1185000,2000000,1331000,332800000,1986000,,,a,3,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 450x250x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,450,250,12.5,,,,18.8,12.5,131.2,1.368,16707,,5967,10740,450300000,179700000,164.2,103.7,2001000,1438000,2458000,1631000,407200000,2406000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 450x250x14.2,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,450,250,14.2,,,,21.3,14.2,148,1.363,18857,,6735,12122,503100000,200000000,163.3,103,2236000,1600000,2759000,1827000,455800000,2675000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 450x250x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,450,250,16,,,,24,16,165.6,1.359,21101,,7536,13565,557100000,220400000,162.5,102.2,2476000,1763000,3070000,2029000,505500000,2947000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 500x300x10,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,500,300,10,,,,15,10,121.6,1.574,15493,,5810,9683,537600000,244400000,186.3,125.6,2150000,1629000,2595000,1826000,524500000,2696000,,,a,4,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 500x300x12.5,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,500,300,12.5,,,,18.8,12.5,150.8,1.568,19207,,7203,12005,658100000,297800000,185.1,124.5,2633000,1985000,3196000,2244000,643900000,3281000,,,a,2,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 500x300x14.2,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,500,300,14.2,,,,21.3,14.2,170.3,1.563,21697,,8136,13561,737000000,332400000,184.3,123.8,2948000,2216000,3593000,2519000,722400000,3660000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 500x300x16,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,500,300,16,,,,24,16,190.8,1.559,24301,,9113,15188,817800000,367700000,183.4,123,3271000,2451000,4005000,2804000,803300000,4044000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
RHS 500x300x20,RHS,EN 10210-2,Hot finished rectangular hollow sections,RHS,500,300,20,,,,30,20,235.3,1.548,29971,,11239,18732,987800000,440800000,181.5,121.3,3951000,2939000,4885000,3408000,974500000,4842000,,,a,1,https://eurocodeapplied.com/design/en1993/rhs-design-properties
L 200x200x24,L,BS EN 10056-1:2017,Equal leg angles,L,200,200,24,,,18,9,,71.1,,9060,,,,33300000,33300000,60.6,60.6,235000,235000,,,1820000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 200x200x20,L,BS EN 10056-1:2017,Equal leg angles,L,200,200,20,,,18,9,,59.9,,7630,,,,28500000,28500000,61.1,61.1,199000,199000,,,1070000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 200x200x18,L,BS EN 10056-1:2017,Equal leg angles,L,200,200,18,,,18,9,,54.3,,6909.999999999999,,,,26000000,26000000,61.3,61.3,181000,181000,,,789000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 200x200x16,L,BS EN 10056-1:2017,Equal leg angles,L,200,200,16,,,18,9,,48.5,,6180,,,,23400000,23400000,61.6,61.6,162000,162000,,,561000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 150x150x18,L,BS EN 10056-1:2017,Equal leg angles,L,150,150,18,,,16,8,,40.1,,5120,,,,10600000,10600000,45.5,45.5,99800,99800,,,586000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 150x150x15,L,BS EN 10056-1:2017,Equal leg angles,L,150,150,15,,,16,8,,33.8,,4300,,,,8980000,8980000,45.7,45.7,83500,83500,,,346000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 150x150x12,L,BS EN 10056-1:2017,Equal leg angles,L,150,150,12,,,16,8,,27.3,,3479.9999999999995,,,,7370000,7370000,46,46,67700,67700,,,182000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 150x150x10,L,BS EN 10056-1:2017,Equal leg angles,L,150,150,10,,,16,8,,23,,2930,,,,6240000,6240000,46.2,46.2,56900,56900,,,108000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 120x120x15,L,BS EN 10056-1:2017,Equal leg angles,L,120,120,15,,,13,6.5,,26.6,,3400,,,,4480000,4480000,36.3,36.3,52800,52800,,,270000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 120x120x12,L,BS EN 10056-1:2017,Equal leg angles,L,120,120,12,,,13,6.5,,21.6,,2750,,,,3680000,3680000,36.5,36.5,42700,42700,,,142000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 120x120x10,L,BS EN 10056-1:2017,Equal leg angles,L,120,120,10,,,13,6.5,,18.2,,2320,,,,3130000,3130000,36.7,36.7,36000,36000,,,84100,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 120x120x8,L,BS EN 10056-1:2017,Equal leg angles,L,120,120,8,,,13,6.5,,14.7,,1880,,,,2590000,2590000,37.1,37.1,29500,29500,,,44400.00000000001,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 100x100x15,L,BS EN 10056-1:2017,Equal leg angles,L,100,100,15,,,12,6,,21.9,,2800,,,,2500000,2500000,29.9,29.9,35800,35800,,,223000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
L 100x100x12,L,BS EN 10056-1:2017,Equal leg angles,L,100,100,12,,,12,6,,17.8,,2270,,,,2070000,2070000,30.2,30.2,29100,29100,,,118000,,,,,,https://www.steelforlifebluebook.co.uk/l-equal/ec3-ukna/section-properties-dimensions-properties
